code,id,user_type_id/id,name,reconcile,chart_template_id/id
111000,account_account_111000,account.data_account_type_current_assets,"KRATKOROČNI DEPOZITI OZIROMA DEPOZITI NA ODPOKLIC, RAZEN DEVIZNIH",False,account_chart_si_gd
112000,account_account_112000,account.data_account_type_current_assets,DEVIZNA SREDSTVA NA RAČUNIH,False,account_chart_si_gd
113000,account_account_113000,account.data_account_type_current_assets,KRATKOROČNI DEVIZNI DEPOZITI OZIROMA DEVIZNI DEPOZITI NA ODPOKLIC,False,account_chart_si_gd
114000,account_account_114000,account.data_account_type_current_assets,DENARNA SREDSTVA NA POSEBNIH RAČUNIH OZIROMA ZA POSEBNE NAMENE,False,account_chart_si_gd
120000,account_account_120000,account.data_account_type_receivable,KRATKOROČNE TERJATVE DO KUPCEV V DRŽAVI,True,account_chart_si_gd
121000,account_account_121000,account.data_account_type_receivable,KRATKOROČNE TERJATVE DO KUPCEV V TUJINI,True,account_chart_si_gd
122000,account_account_122000,account.data_account_type_current_assets,"KRATKOROČNI BLAGOVNI KREDITI, DANI KUPCEM V DRŽAVI",False,account_chart_si_gd
123000,account_account_123000,account.data_account_type_current_assets,"KRATKOROČNI BLAGOVNI KREDITI, DANI KUPCEM V TUJINI",False,account_chart_si_gd
124000,account_account_124000,account.data_account_type_current_assets,"KRATKOROČNI POTROŠNIŠKI KREDITI, DANI KUPCEM V DRŽAVI",False,account_chart_si_gd
129000,account_account_129000,account.data_account_type_current_assets,OSLABITEV VREDNOSTI KRATKOROČNIH TERJATEV DO KUPCEV,False,account_chart_si_gd
130000,account_account_130000,account.data_account_type_current_assets,"KRATKOROČNI PREDUJMI, DANI ZA OPREDMETENA OSNOVNA SREDSTVA",False,account_chart_si_gd
131000,account_account_131000,account.data_account_type_current_assets,"KRATKOROČNI PREDUJMI, DANI ZA NEOPREDMETENA SREDSTVA",False,account_chart_si_gd
132000,account_account_132000,account.data_account_type_current_assets,"KRATKOROČNI PREDUJMI, DANI ZA ZALOGE MATERIALA IN BLAGA TER ŠE NE OPRAVLJENE STORITVE",False,account_chart_si_gd
133000,account_account_133000,account.data_account_type_receivable,DRUGI DANI KRATKOROČNI PREDUJMI IN PREPLAČILA,True,account_chart_si_gd
134000,account_account_134000,account.data_account_type_current_assets,DANE KRATKOROČNE VARŠČINE,False,account_chart_si_gd
139000,account_account_139000,account.data_account_type_current_assets,OSLABITEV VREDNOSTI DANIH KRATKOROČNIH PREDUJMOV IN VARŠČIN,False,account_chart_si_gd
140000,account_account_140000,account.data_account_type_current_assets,KRATKOROČNE TERJATVE DO IZVOZNIKOV,False,account_chart_si_gd
141000,account_account_141000,account.data_account_type_current_assets,KRATKOROČNE TERJATVE IZ UVOZA ZA TUJ RAČUN,False,account_chart_si_gd
142000,account_account_142000,account.data_account_type_current_assets,KRATKOROČNE TERJATVE IZ KOMISIJSKE IN KONSIGNACIJSKE PRODAJE,False,account_chart_si_gd
145000,account_account_145000,account.data_account_type_current_assets,DRUGE KRATKOROČNE TERJATVE IZ POSLOVANJA ZA TUJ RAČUN,False,account_chart_si_gd
149000,account_account_149000,account.data_account_type_current_assets,OSLABITEV VREDNOSTI KRATKOROČNIH TERJATEV IZ POSLOVANJA ZA TUJ RAČUN,False,account_chart_si_gd
150000,account_account_150000,account.data_account_type_current_assets,KRATKOROČNE TERJATVE ZA OBRESTI,False,account_chart_si_gd
151000,account_account_151000,account.data_account_type_current_assets,KRATKOROČNE TERJATVE ZA DIVIDENDE,False,account_chart_si_gd
152000,account_account_152000,account.data_account_type_current_assets,KRATKOROČNE TERJATVE ZA DRUGE DELEŽE V DOBIČKU,False,account_chart_si_gd
155000,account_account_155000,account.data_account_type_current_assets,"DRUGE KRATKOROČNE TERJATVE, POVEZANE S FINANČNIMI PRIHODKI",False,account_chart_si_gd
159000,account_account_159000,account.data_account_type_current_assets,"OSLABITEV VREDNOSTI KRATKOROČNIH TERJATEV, POVEZANIH S FINANČNIMI PRIHODKI",False,account_chart_si_gd
160000,account_account_160000,account.data_account_type_current_assets,KRATKOROČNE TERJATVE ZA ODBITNI DDV 22%,False,account_chart_si_gd
160001,account_account_160001,account.data_account_type_current_assets,"KRATKOROČNE TERJATVE ZA ODBITNI DDV 9,5%",False,account_chart_si_gd
160002,account_account_160002,account.data_account_type_current_assets,KRATKOROČNE TERJATVE ZA ODBITNI DDV 22% - EU,False,account_chart_si_gd
160003,account_account_160003,account.data_account_type_current_assets,"KRATKOROČNE TERJATVE ZA ODBITNI DDV 9,5% - EU",False,account_chart_si_gd
160004,account_account_160004,account.data_account_type_current_assets,KRATKOROČNE TERJATVE ZA ODBITNI DDV 22% - UVOZ,False,account_chart_si_gd
160005,account_account_160005,account.data_account_type_current_assets,"KRATKOROČNE TERJATVE ZA ODBITNI DDV 9,5% - UVOZ",False,account_chart_si_gd
160006,account_account_160006,account.data_account_type_current_assets,KRATKOROČNE TERJATVE ZA ODBITNI DDV 4% – PAVŠALNO NADOMESTILO,False,account_chart_si_gd
161000,account_account_161000,account.data_account_type_current_assets,"KRATKOROČNE TERJATVE ZA DAVEK OD DOHODKOV PRAVNIH OSEB, VKLJUČNO Z DAVKOM, PLAČANIM V TUJINI",False,account_chart_si_gd
162000,account_account_162000,account.data_account_type_current_assets,DRUGE KRATKOROČNE TERJATVE DO DRŽAVNIH IN DRUGIH INŠTITUCIJ,False,account_chart_si_gd
165000,account_account_165000,account.data_account_type_current_assets,OSTALE KRATKOROČNE TERJATVE,False,account_chart_si_gd
166000,account_account_166000,account.data_account_type_current_assets,"KRATKOROČNE TERJATVE ZA DDV, VRNJEN TUJCEM",False,account_chart_si_gd
167000,account_account_167000,account.data_account_type_current_assets,"KRATKOROČNE TERJATVE ZA DDV, PLAČAN V TUJINI",False,account_chart_si_gd
169000,account_account_169000,account.data_account_type_current_assets,OSLABITEV VREDNOSTI DRUGIH KRATKOROČNIH TERJATEV,False,account_chart_si_gd
170000,account_account_170000,account.data_account_type_current_assets,"KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE DRUŽB V SKUPINI, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI",False,account_chart_si_gd
171000,account_account_171000,account.data_account_type_current_assets,"KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE DRUŽB V SKUPINI, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK POSLOVNEGA IZIDA",False,account_chart_si_gd
172000,account_account_172000,account.data_account_type_current_assets,"KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE DRUŽB V SKUPINI, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK KAPITALA",False,account_chart_si_gd
